Test type, Queue Configuration, Extra Configuration, Number of cashiers, Day, Average Wait time, Average Slowdown, SD Wait time, Number of clients leaving, Max tollerance, Total number of arrivals, Number of simulations
0, pseudo-casuale, none, 1, 6, 1663.323623, 38.828784, 0, 2761, 50, 3806, 1
0, pseudo-casuale, none, 1, 7, 1847.140459, 43.127824, 0, 2472, 50, 3501, 1
0, pseudo-casuale, none, 3, 1, 458.319422, 11.684381, 0, 1090, 10, 4001, 1
0, pseudo-casuale, none, 3, 2, 463.762093, 11.740749, 0, 965, 10, 3860, 1
0, pseudo-casuale, none, 3, 3, 452.474569, 11.548792, 0, 1144, 10, 4056, 1
0, pseudo-casuale, none, 3, 4, 454.029991, 11.624711, 0, 1116, 10, 4061, 1
0, pseudo-casuale, none, 3, 5, 456.593775, 11.654361, 0, 1092, 10, 4033, 1
0, pseudo-casuale, none, 3, 6, 441.261992, 11.187067, 0, 919, 10, 3806, 1
0, pseudo-casuale, none, 3, 7, 362.965060, 9.504265, 0, 691, 10, 3501, 1
0, pseudo-casuale, none, 3, 1, 939.106693, 22.604336, 0, 1099, 20, 4001, 1
0, pseudo-casuale, none, 3, 2, 935.423017, 22.724029, 0, 915, 20, 3860, 1
0, pseudo-casuale, none, 3, 3, 929.491285, 22.476289, 0, 1148, 20, 4056, 1
0, pseudo-casuale, none, 3, 4, 946.505197, 23.147543, 0, 1076, 20, 4061, 1
0, pseudo-casuale, none, 3, 5, 943.864392, 22.980521, 0, 1057, 20, 4033, 1
0, pseudo-casuale, none, 3, 6, 889.256016, 21.730136, 0, 874, 20, 3806, 1
0, pseudo-casuale, none, 3, 7, 724.224411, 17.864828, 0, 686, 20, 3501, 1
0, pseudo-casuale, none, 3, 1, 1365.676208, 32.686897, 0, 1028, 30, 4001, 1
0, pseudo-casuale, none, 3, 2, 1370.010863, 32.856344, 0, 889, 30, 3860, 1
0, pseudo-casuale, none, 3, 3, 1361.543417, 32.790640, 0, 1076, 30, 4056, 1
0, pseudo-casuale, none, 3, 4, 1406.537595, 33.760635, 0, 1055, 30, 4061, 1
0, pseudo-casuale, none, 3, 5, 1416.524603, 34.142198, 0, 1016, 30, 4033, 1
0, pseudo-casuale, none, 3, 6, 1302.008697, 31.422145, 0, 834, 30, 3806, 1
0, pseudo-casuale, none, 3, 7, 1077.459229, 25.912640, 0, 670, 30, 3501, 1
0, pseudo-casuale, none, 3, 1, 1786.363505, 42.720160, 0, 995, 40, 4001, 1
0, pseudo-casuale, none, 3, 2, 1759.173497, 41.863703, 0, 848, 40, 3860, 1
0, pseudo-casuale, none, 3, 3, 1773.993694, 42.411178, 0, 1057, 40, 4056, 1
0, pseudo-casuale, none, 3, 4, 1833.401049, 43.871041, 0, 1010, 40, 4061, 1
0, pseudo-casuale, none, 3, 5, 1845.100434, 44.041625, 0, 1001, 40, 4033, 1
0, pseudo-casuale, none, 3, 6, 1667.150236, 40.042868, 0, 794, 40, 3806, 1
0, pseudo-casuale, none, 3, 7, 1385.747006, 33.357218, 0, 624, 40, 3501, 1
0, pseudo-casuale, none, 3, 1, 2157.796415, 51.469022, 0, 957, 50, 4001, 1
0, pseudo-casuale, none, 3, 2, 2125.371911, 50.610542, 0, 831, 50, 3860, 1
0, pseudo-casuale, none, 3, 3, 2185.802383, 51.427164, 0, 1063, 50, 4056, 1
0, pseudo-casuale, none, 3, 4, 2243.034349, 53.327881, 0, 998, 50, 4061, 1
0, pseudo-casuale, none, 3, 5, 2249.264979, 53.447863, 0, 971, 50, 4033, 1
0, pseudo-casuale, none, 3, 6, 2026.943070, 48.209011, 0, 788, 50, 3806, 1
0, pseudo-casuale, none, 3, 7, 1710.170021, 40.201692, 0, 622, 50, 3501, 1
0, pseudo-casuale, none, 1, 1, 4787.292883, 111.365801, 0, 2810, 200, 4001, 1
0, pseudo-casuale, none, 1, 2, 4948.330746, 115.022818, 0, 2682, 200, 3860, 1
0, pseudo-casuale, none, 1, 3, 4617.433423, 108.185866, 0, 2863, 200, 4056, 1
0, pseudo-casuale, none, 1, 4, 4649.355408, 107.898033, 0, 2879, 200, 4061, 1
0, pseudo-casuale, none, 1, 5, 4700.972344, 108.934767, 0, 2827, 200, 4033, 1
0, pseudo-casuale, none, 1, 6, 4974.209565, 115.600136, 0, 2612, 200, 3806, 1
0, pseudo-casuale, none, 1, 7, 5351.382357, 125.251453, 0, 2326, 200, 3501, 1
0, pseudo-casuale, none, 1, 1, 38629.625991, 906.217647, 0, 1005, 2000, 4001, 1
0, pseudo-casuale, none, 1, 2, 39100.204255, 911.677994, 0, 869, 2000, 3860, 1
0, pseudo-casuale, none, 1, 3, 38395.583891, 891.540771, 0, 1070, 2000, 4056, 1
0, pseudo-casuale, none, 1, 4, 38642.876678, 897.626493, 0, 1063, 2000, 4061, 1
0, pseudo-casuale, none, 1, 5, 38683.208227, 905.556569, 0, 1028, 2000, 4033, 1
0, pseudo-casuale, none, 1, 6, 39362.761169, 914.931592, 0, 812, 2000, 3806, 1
0, pseudo-casuale, none, 1, 7, 40508.724063, 942.437708, 0, 528, 2000, 3501, 1
0, pseudo-casuale, none, 6, 1, 21.418624, 1.507668, 0, 0, 10, 4001, 1
0, pseudo-casuale, none, 6, 2, 18.013867, 1.421184, 0, 0, 10, 3860, 1
0, pseudo-casuale, none, 6, 3, 22.262933, 1.519525, 0, 0, 10, 4056, 1
0, pseudo-casuale, none, 6, 4, 21.445654, 1.496531, 0, 0, 10, 4061, 1
0, pseudo-casuale, none, 6, 5, 20.273694, 1.468566, 0, 0, 10, 4033, 1
0, pseudo-casuale, none, 6, 6, 17.341872, 1.398664, 0, 0, 10, 3806, 1
0, pseudo-casuale, none, 6, 7, 16.460794, 1.377178, 0, 0, 10, 3501, 1
